,avg_outgoing_incoming_ratio,bin_00_03,bin_03_06,bin_06_09,bin_09_12,bin_12_15,bin_15_18,bin_18_21,bin_21_00,consecutive_in_tx_score,consecutive_out_tx_score,first_outgoing_tx,first_tx,incoming_tx_freq_mean,incoming_tx_freq_median,incoming_tx_freq_std,incoming_tx_max_fee,incoming_tx_mean_fee,incoming_tx_value_mean,incoming_tx_value_median,incoming_tx_value_std,lifetime,num_close_peers,num_incoming_peers,num_outgoing_peers,obtain_spent_ratio,outgoing_tx_freq_mean,outgoing_tx_freq_median,outgoing_tx_freq_std,outgoing_tx_max_fee,outgoing_tx_mean_fee,outgoing_tx_value_mean,outgoing_tx_value_median,outgoing_tx_value_std,receive_percentage,total_received_amount,total_txes,tx_freq_mean,tx_freq_median,tx_freq_std,n_common_close,n_common_incoming,n_common_outgoing,n_from_a_to_b,n_from_b_to_a,n_common_fallback,label
20,0.1729878597683464,0.059,0.09100000000000003,0.0,0.0,0.0,0.10899999999999999,0.10199999999999998,0.18000000000000005,0.1398717948717949,0.05384615384615393,2027830.0,2028287.0,135.0107021604938,77.20597222222227,129.85485044869972,136.58337225840003,68.38987441237957,3.0730576672189045,27.194968291500004,2.2350867746184804,1484.283888888889,0.0,0.0,2.0,0.5404693499975263,399619.39285714284,197664.0,429900.3482181382,15.72064437404103,19.332230733536004,44.16350779790349,97.71495330390711,74.07848135051466,0.05384615384615393,295.79144024490006,1.0,62.77423472222222,1.7581944444444841,102.91355242681502,0.0,4.0,2.0,0.0,0.0,6.0,1
21,0.2164216720853417,0.143,0.0,0.0,0.357,0.286,0.0,0.143,0.21400000000000002,0.0784313725490196,0.1895424836601307,33823185.0,33535236.0,848.6156481481481,49.226111111111194,1419.6002069008528,4.471508399999999,2.427805498075602,197.62101491041645,66.9876095759252,73.1814867934324,8705.953611111112,0.0,2.0,0.0,0.026636589234859898,1350057.5,1171875.5,5229569.834914014,10.34951484,9.688187346653143,45.70352179571515,187.569905492767,106.9942233610486,0.0784313725490196,806.3068208866737,11.0,460.3375451388889,6.383611111111122,1128.9201243682917,0.0,1.0,1.0,0.0,0.0,2.0,1
22,0.2388523642049983,0.125,0.0,0.16099999999999998,0.286,0.5,0.179,0.0,0.0,0.01515151515151511,0.09090909090909088,10062122.0,10062252.0,822.7092592592594,77.6402777777778,1120.8773501776375,13.37219507287048,14.582131840420985,319.4406302083333,380.9280525,41.65825541105643,2372.965833333333,0.0,1.0,0.0,0.7524184447435882,1459937.0952380954,157844.0,3228507.1267508026,164.12089029641703,60.71408544284611,128.7115708148141,62.06661674880504,157.18179262393903,0.09090909090909088,907.3687125,0.0,237.29658333333327,6.038194444444448,718.1729522820672,0.0,0.0,2.0,0.0,0.0,2.0,1
25,0.4521718957172748,0.5,0.233,0.0,0.0,0.0,0.5,0.1,0.13299999999999998,0.02745098039215689,0.0588235294117648,8487138.0,8572056.0,3368.282175925926,3510.882777777778,412.80079852022527,9.749910005187687,4.317348628359971,72.7078697792903,92.98408490997892,4.653003378392768,1379.3505555555553,1.0,2.0,4.0,1.9613189044658847,1755921.8666666667,522182.0,1422270.4419807708,18.090583573341796,6.641474122336567,96.2182723166187,56.44700204830403,99.79755642973156,0.16176470588235292,245.5682240948625,9.0,386.232445436508,141.06694444444457,645.1373676248277,0.0,0.0,0.0,0.0,0.0,0.0,1
27,0.36926375856546917,0.0,0.0,0.333,0.8,0.333,0.133,0.0,0.0,0.1491228070175439,0.0646059593428015,4233886.0,6891973.0,33.712636752136746,0.02555555555557021,57.09949382480848,25.39851528596593,2.1753566423309003,49.58660746809562,58.69320992664893,52.456522974989426,904.5461111111111,0.0,2.0,1.0,0.48601005479721715,467016.0,557067.5,453803.7798678747,3.5526117899999994,2.197485311,196.5867368372944,625.0478330077341,32.968311987416314,0.07017543859649122,1397.456039631766,10.0,8.209475308641984,38.61305555555545,4.513771006055158,0.0,1.0,0.0,0.0,0.0,1.0,1
30,0.3245652934648925,0.05600000000000001,0.133,0.087,0.10200000000000001,0.10799999999999998,0.087,0.0,0.009999999999999995,0.1402777777777778,0.0625,19507295.0,19507905.0,797.4791666666665,790.3888888888888,490.08422416988697,118.08719317791943,54.685690106125534,684.2291397617394,16.07132,1103.620925360745,2553.556111111111,0.0,1.0,1.0,0.9736958803946776,872034.1309523811,636300.0,139959.19915512472,21.940535868248617,14.7281604700574,227.86374943655792,0.0,685.9156700861104,0.0625,3456.803965475364,4.0,204.95646198830406,224.7486111111118,92.43431655828248,0.0,1.0,1.0,0.0,0.0,2.0,1
31,0.0817055147407196,0.0,0.0,0.001,0.035999999999999976,0.02300000000000002,0.05099999999999999,0.04,0.03,0.0011709712790339958,0.0225050365097186,1906428.0,1925686.0,772.9165277777776,959.7916666666663,416.1544538640543,68.40689871424001,48.69182849176001,66240.28855671552,29825.38878414975,87493.51258040524,9594.658333333333,0.0,1.0,138.0,9.356629968572893,23671.86318897638,6.5,173261.721432634,561.7824110488,31.67377907202004,1462.4041397120086,0.0,24427.41204628016,0.0387651991113446,201265.17140308677,857.0,6.649377382479918,0.0008333333336167995,48.28068960617163,0.0,0.0,21.0,0.0,0.0,21.0,1
34,0.45609765477617226,0.333,0.091,0.0,0.333,0.24200000000000002,0.273,0.273,0.273,0.34583333333333344,0.3125,8514205.0,10928476.0,560.0920138888889,672.2063888888889,526.4188765267545,0.025065600000000007,0.01930865692452321,9.713151534025165,7.618171907,19.5656637644147,4443.350555555556,0.0,2.0,1.0,0.27900428981019354,592623.7000000002,808329.0,2173532.050653335,0.39957640000000005,0.219873397,22.680290667807277,0.0,30.226257189697954,0.04999999999999999,109.11434459377355,14.0,7.261222222222216,74.9799999999999,405.5331495227949,0.0,1.0,0.0,0.0,0.0,1.0,1
35,0.2122107984301651,0.0,0.2,0.4,0.2,0.0,0.0,0.2,0.2,0.1637931034482759,0.11904327248140628,11737420.0,16445793.0,208.51542658730162,106.74625000000003,198.95036737035016,7.670777385448744,3.6830171312026296,467.90140821104046,56.865943692699986,176.8263719026954,303.1127777777774,0.0,1.0,1.0,0.07974967500018781,414602.25,134409.0,3769.0959767106688,0.6500067270792584,0.702911495075774,102.52312846737831,864.1984985960196,188.39344500765634,0.1637931034482759,2339.5070410552025,38.0,138.76608187134508,67.39527777777766,196.0224899766522,0.0,1.0,1.0,0.0,0.0,2.0,1
36,0.27045766466992716,0.0,0.0,0.19399999999999995,0.08300000000000002,0.111,0.0,0.0,0.0,0.058823529411764774,0.058823529411764774,8470516.0,8470799.0,415.5022867063492,395.6280555555556,87.54879979020185,46.44841511315358,13.33100305439635,93.35681080864248,110.43223469001003,34.414650206902124,3022.448333333333,0.0,0.0,0.0,0.3042648727536681,1406354.8035714284,1466971.0,426168.64281947445,17.82218620647921,3.7348668316067197,151.95181773672437,96.73771013394241,42.9259156060571,0.0,746.85448646914,0.0,188.9030208333333,95.76347222222219,203.81986080558352,0.0,1.0,1.0,0.0,0.0,2.0,1
